mgnet	weight	node_i	node_j	link_type	crossing_communities	source_i	type_i	path_taxs_i	kingdom_i	phylum_i	class_i	order_i	family_i	genus_i	species_gtdb_i	human_gut_i	is_from_gut_i	group_amr_i	biocide_class_amr_i	class_amr_i	cluster_representative_i	cluster_version_i	metal_class_amr_i	resistance_type_i	source_j	type_j	path_taxs_j	kingdom_j	phylum_j	class_j	order_j	family_j	genus_j	species_gtdb_j	human_gut_j	is_from_gut_j	group_amr_j	biocide_class_amr_j	class_amr_j	cluster_representative_j	cluster_version_j	metal_class_amr_j	resistance_type_j
mOTU-ResFinder	0.6060351968590936	Acinetobacter beijerinckii	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;262668	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter beijerinckii	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6066704722007674	Acinetobacter celticus	pan_1383	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1891224	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter celticus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6079709631948252	Acinetobacter colistiniresistens [Acinetobacter sp. CIP ./Acinetobacter sp. NBRC /Acinetobacter col	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;280145	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Incongruent [g__Acinetobacter]	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6546434781756765	Acinetobacter guillouiae [Acinetobacter guillouiae/Acinetobacter sp. ETR/Acinetobacter sp. Root]	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter guillouiae	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6051344428101815	Acinetobacter guillouiae [Acinetobacter guillouiae/Acinetobacter sp. ETR/Acinetobacter sp. Root]	pan_2004	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter guillouiae	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.636206012176617	Acinetobacter guillouiae [Acinetobacter guillouiae/Acinetobacter sp. ETR/Acinetobacter sp. Root]	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter guillouiae	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.61861644146278	Acinetobacter guillouiae [Acinetobacter guillouiae/Acinetobacter sp. ETR/Acinetobacter sp. Root]	pan_745	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter guillouiae	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.7173178844617007	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.603646015730329	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_2004	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6189629220305481	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_2095	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	macrolide	pan_2095_v1.0.1	v1.0.1	NA	antimicrobial
mOTU-ResFinder	0.6250733537612402	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_2431	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6852821893767516	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_2471	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.7266331143271838	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6624523485839761	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_745	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6138492123885165	Acinetobacter indicus [Acinetobacter sp. CIP ./Acinetobacter indicus]	pan_9576	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;756892	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter indicus	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.8956310271575079	Acinetobacter johnsonii	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.7617616713414639	Acinetobacter johnsonii	pan_2004	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6279401166429973	Acinetobacter johnsonii	pan_2095	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	macrolide	pan_2095_v1.0.1	v1.0.1	NA	antimicrobial
mOTU-ResFinder	0.7700937218405015	Acinetobacter johnsonii	pan_2431	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.8184530810838166	Acinetobacter johnsonii	pan_2471	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.9052880616537876	Acinetobacter johnsonii	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.8341382651341829	Acinetobacter johnsonii	pan_745	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6248046225740337	Acinetobacter johnsonii	pan_9576	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;40214	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter johnsonii	Acinetobacter johnsonii	TRUE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.621231029791301	Acinetobacter rudis	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;632955	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter rudis	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.7667194368950417	Acinetobacter sp. ANC	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6570122935313389	Acinetobacter sp. ANC	pan_2004	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6169926507789674	Acinetobacter sp. ANC	pan_2095	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	macrolide	pan_2095_v1.0.1	v1.0.1	NA	antimicrobial
mOTU-ResFinder	0.6926901459033885	Acinetobacter sp. ANC	pan_2431	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6964179491788951	Acinetobacter sp. ANC	pan_2471	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.7831795064052305	Acinetobacter sp. ANC	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.7443113449411826	Acinetobacter sp. ANC	pan_745	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6154328043284671	Acinetobacter sp. ANC	pan_9576	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1977874	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp002135205	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6789472888146069	Acinetobacter sp. P--	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1029823	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp000214135	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6048489323253391	Acinetobacter sp. P--	pan_2004	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1029823	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp000214135	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6247872229990445	Acinetobacter sp. P--	pan_2471	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1029823	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp000214135	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6899378162410528	Acinetobacter sp. P--	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1029823	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp000214135	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6389522663017992	Acinetobacter sp. P--	pan_745	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1029823	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter sp000214135	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6103152219291137	Acinetobacter tandoii	pan_2471	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;202954	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter tandoii	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6424576921938524	Acinetobacter tandoii	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;202954	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter tandoii	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6171255491780617	Acinetobacter tjernbergiae	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;202955	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter tjernbergiae	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6592611965509588	Acinetobacter towneri [Acinetobacter sp. MDSA/Acinetobacter towneri]	pan_772	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;202956	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter towneri	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	phenicol	pan_772_v1.0.1	v1.0.1	NA	antimicrobial
mOTU-ResFinder	0.626560834520515	Acinetobacter wuhouensis	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1879050	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter wuhouensis	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
